#{"t_start": 1692628658.19985, "env_id": "None"}
r,l,t
-11230.423242,1419,42.640122
-15957.599926,1887,78.438252
-21858.557468,3996,141.519603
-2864.388093,1146,158.330213
-7097.060627,1699,181.057986
-7444.0032,1417,202.236721
-4096.564706,1474,227.099357
-2573.062805,899,238.845189
-2050.686235,523,249.456807
-4064.778039,1250,263.76926
-2639.684854,829,276.789292
-3244.89521,1011,288.568785
-4577.162137,1579,309.194541
-4417.656726,1072,319.352067
-2126.788679,498,326.363868
-2135.62178,642,332.649076
-2205.383869,662,338.944056
-2714.83629,841,350.148417
-1761.539093,605,356.468696
-1941.116603,615,362.801913
-2052.319388,596,373.23222
-2042.875325,715,380.762181
-2207.655763,661,387.871307
-2543.626631,898,400.652745
-18233.100273,1591,422.738652
-1191.889278,236,428.557983
-1660.763059,548,434.775528
-1875.89252,629,441.741891
-1892.31766,554,448.038319
-1472.536714,304,454.479166
-1670.321332,526,460.59318
-1716.523601,553,467.156003
-1645.493379,528,473.314605
-1953.498481,758,486.390052
-1579.727238,504,492.722212
-1560.293866,523,498.940797
-1671.287908,533,505.073135
-1284.913615,323,511.599082
-1772.529274,530,518.118055
-1787.165629,643,525.766377
-1967.153688,603,532.994502
-932.467997,174,538.940694
-2374.45629,778,548.544994
-1721.33419,591,555.747554
-2342.22145,641,567.732469
-1917.479647,587,575.208052
-2499.70919,712,584.040692
-1677.973584,564,591.036249
-2277.551868,511,601.448824
-11330.899559,2050,633.554171
-15288.884208,1586,656.524269
-983.648132,201,663.363343
-1730.72045,552,670.30438
-3427.532297,949,684.989494
-1178.643124,393,694.296209
-1663.319768,549,701.804244
-2106.309872,592,709.726637
-1821.579488,574,717.092454
-1923.468433,547,729.496637
-1709.768975,538,736.431998
-1775.754945,549,743.531868
-1628.09152,564,750.935291
-1458.840203,291,758.799237
-1989.635876,597,766.394824
-1771.322303,585,773.703596
-1981.760943,609,781.324689
-930.117274,182,787.722785
-1844.557547,571,794.849653
-1640.751647,521,801.592961
-1633.118924,544,808.684242
-2247.995276,680,821.494053
-1681.726568,574,828.785213
-1794.992124,550,835.88155
-3412.527759,1177,855.052863
-4127.096438,1041,868.233638
-1778.494839,477,879.085177
-2244.952481,698,888.390191
-8171.896375,1417,915.48507
-1571.99074,559,922.922141
-1716.029773,574,930.43423
-1757.274853,533,937.304069
-1694.35818,661,950.648876
-1563.783159,552,957.772539
-1530.396314,519,964.871456
-1976.915425,562,972.309391
-1101.315834,358,981.352434
-3652.033316,848,993.330022
-2100.071948,629,1001.472364
-1396.438763,298,1009.212266
-1817.807668,565,1016.515355
-1851.076013,589,1023.981466
-4231.462121,1318,1044.102882
-1861.983819,535,1050.289101
-1765.574579,551,1056.371783
-3653.751953,1134,1076.356107
-1795.93209,552,1082.410329
-1685.554111,542,1088.683452
-1980.355803,730,1100.811189
-1575.683962,515,1107.242094
-1795.196684,561,1113.822268
-1705.342197,548,1120.270156
-729.059632,157,1126.022223
-1749.066175,550,1132.907959
-1692.077774,524,1139.573896
-1521.745385,570,1147.105431
-1860.314562,644,1160.111758
-1763.317362,596,1168.103261
-1716.269946,551,1175.277607
-2425.865302,851,1192.006531
-2135.799432,706,1201.356063
-8153.76143,1164,1221.427425
-2124.316879,676,1230.025589
-22671.666672,2694,1282.925668
-1994.216399,604,1295.003235
-6616.379172,1360,1314.750015
-4013.376998,1239,1335.58024
-3547.832319,1219,1352.624947
-1157.450354,268,1359.869812
